Invoice No,Distributor Code,Customer Code,Route Code,Product Index,Product Code,,Product Description,UOM Code,Selling Type,Default UOM,Product Quantity,MRP,Product List Price,UOM List Price,Gross Amount,Product Discount,Promo Discount,SLS Discount,Customer Group Discount,Discount Amount,Amount After SKU Disc,Customer Discount,Total Tax Amount,Total Net Amount,SO Number,Document Type,Invoice Status,Invoice Date,GST Code,GST Rate,Backend Customer Ref No,Distributor User Defined 1,Distributor User Defined 2,Distributor User Defined 3,Distributor User Defined 4,Distributor User Defined 5,Distributor User Defined 1,Distributor User Defined 2,Distributor User Defined 3,Distributor User Defined 4,Distributor User Defined 5,Smallest UOM Quantity,Picklist Indicator,Outlet Type,Segmentation,Outlet Program,Route Plan Code & Name,VAT,Add VAT,HSN Code,Route Segmentation,Route Mobile Number
IN000919,7880336,CT0010054418,SHA1003,1,349130,0349130,Mortein Doom P.Gard Aik Lemon 12*100Ml,OU,S,CA,1,0,2163.01,180.25,180.25,0,0,0,0,0,180.25,0,28.84,209.09,SOSHA1003000154,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,1,Picked,DTR Van-D,,,,,,,,
IN001126,7880336,CT0010054576,SHA1005,1,349130,0349130,Mortein Doom P.Gard Aik Lemon 12*100Ml,OU,S,CA,1,0,2163.01,180.25,180.25,0,0,0,0,0,180.25,0,28.84,209.09,SOSHA1005000155,Invoice,Invoiced,17/03/2025,,,,,,,,,,,,,,1,Picked,DTR Van-D,,,,,,,,
IN000312,7880336,CT0010041882,SHA1003,6,3012868,3012868,Jik Colours 70Ml *144,OU,S,CA,6,0,4597.7,31.93,191.58,0,0,0,0,0,191.58,0,30.65,222.23,SOSHA1003000064,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000346,7880336,CT0010054077,SHA1005,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,9,0,3218.39,22.35,201.15,0,0,0,0,0,201.15,0,32.18,233.33,SOSHA1005000031,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,9,Picked,DTR Van-D,,,,,,,,
IN001016,7880336,CT0010054495,SHA1004,1,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,0,243.14,SOSHA1004000165,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN001235,7880336,CT0010054609,SHA1004,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,0,243.14,SOSHA1004000218,Invoice,Invoiced,18/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000141,7880336,CT0010043738,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1003000044,Invoice,Invoiced,04/03/2025,,,,,,,,,,,,,,12,Unpick,DTR Van-D,,,,,,,,
IN000196,7880336,CT0010041888,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1003000048,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,12,Unpick,DTR Van-D,,,,,,,,
IN000197,7880336,CT0010043767,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1003000050,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,12,Unpick,DTR Van-D,,,,,,,,
IN000879,7880336,CT0010054374,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1003000146,Invoice,Invoiced,12/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN000933,7880336,CT0010054392,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1004000139,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001044,7880336,CT0010054471,SHA1005,4,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1005000136,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001106,7880336,CT0010054536,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1004000184,Invoice,Invoiced,17/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001107,7880336,CT0010054535,SHA1004,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1004000185,Invoice,Invoiced,17/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001225,7880336,CT0010054587,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1004000210,Invoice,Invoiced,18/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001227,7880336,CT0010054589,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1004000212,Invoice,Invoiced,18/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001234,7880336,CT0010054590,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1004000209,Invoice,Invoiced,18/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001235,7880336,CT0010054609,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1004000218,Invoice,Invoiced,18/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001316,7880336,CT0010054673,SHA1002,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1002000224,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001361,7880336,CT0010054691,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,0,244.06,SOSHA1004000242,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001444,7880336,CT0010054385,SHA1003,2,366159,0366159,Dettol Soap Original 72*90Gm,OU,S,CA,2,0,9028,125.39,250.78,0,0,0,0,0,250.78,0,0,250.78,SOSHA1003000244,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,2,Picked,DTR Van-D,,,,,,,,
IN000473,7880336,CT0010054090,SHA1007,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,0,0,0,0,0,268.2,0,0,268.2,SOSHA1007000056,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-A,,,,,,,,
IN000234,7880336,CT0010045067,SHA1002,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1002000058,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000236,7880336,CT0010044624,SHA1004,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000026,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000241,7880336,CT0010044637,SHA1004,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000031,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000242,7880336,CT0010044661,SHA1004,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000032,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000311,7880336,CT0010041536,SHA1003,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1003000063,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000336,7880336,CT0010044926,SHA1004,5,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000043,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000337,7880336,CT0010044938,SHA1004,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000044,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000342,7880336,CT0010044956,SHA1004,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000050,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000420,7880336,CT0010041859,SHA1003,3,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1003000086,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000429,7880336,CT0010046251,SHA1004,3,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000065,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000504,7880336,CT0010046609,SHA1001,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1001000076,Invoice,Invoiced,08/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000532,7880336,CT0010043886,SHA1003,6,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1003000098,Invoice,Invoiced,08/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000737,7880336,CT0010043738,SHA1003,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1003000125,Invoice,Invoiced,11/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000787,7880336,CT0010044848,SHA1007,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1007000134,Invoice,Invoiced,11/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000856,7880336,CT0010054356,SHA1007,1,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1007000142,Invoice,Invoiced,12/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000920,7880336,CT0010054420,SHA1003,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1003000155,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000923,7880336,CT0010054421,SHA1003,1,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1003000158,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000927,7880336,CT0010054431,SHA1003,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1003000162,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000935,7880336,CT0010054394,SHA1004,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000141,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000940,7880336,CT0010043811,SHA1004,1,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000149,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000993,7880336,CT0010043957,SHA1003,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1003000174,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN001021,7880336,CT0010044620,SHA1004,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000170,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN001023,7880336,CT0010044587,SHA1004,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000172,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN001063,7880336,CT0010042718,SHA1001,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1001000176,Invoice,Invoiced,17/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN001113,7880336,CT0010045383,SHA1004,3,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1004000191,Invoice,Invoiced,17/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN001142,7880336,CT0010054548,SHA1006,1,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,93.12,15.52,0,0,15.52,243.14,0,38.9,282.04,SOSHA1006000209,Invoice,Invoiced,17/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
